algorithm,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,crossovers_mean,completion_rate_mean,tiles_completed_mean,cplex_optimal,cplex_feasible,cplex_infeasible,cplex_timeout,cplex_failed
merge_greedy,,,,12,12,22.916666666666668,14,40,10.403992289287586,28.532542680166667,1.228962787,128.207188865,41.29052448543984,,,,,,,,
greedy,,,,12,12,20.5,11,35,9.287087810503355,0.027308936333333336,0.003605556,0.130428726,0.036654695478625245,,,,,,,,
stochastic_greedy,,,,12,12,21.75,12,36,9.301657558378148,0.02624246825,0.003766125,0.099154332,0.030651802919313346,,,,,,,,
genetic_greedy,,,,12,12,20.0,10,34,9.1104335791443,144.28644236375,5.824638022,458.199439566,166.60588800539273,28325.916666666668,0.06171866281969516,46398.666666666664,,,,,
genetic_stochastic,,,,11,11,18.818181818181817,11,34,8.364624447562504,148.49713529927274,13.878516796,626.277763758,208.83552208983707,28332.272727272728,0.10997833656213829,72092.45454545454,,,,,
beam_search,,,,11,11,18.636363636363637,11,34,8.093462314201812,89.36824363518181,25.834911181,197.054588004,71.26548756757896,,,,,,,,
