scale,tiles,n,m,run,seed,algorithm,objective_type,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
large,60,3,3,14,1342,genetic_stochastic,square,15,62.60292825,15,15,60,28346,600,30019,0.02116700769067946,50.031666666666666
large,60,3,3,15,1442,greedy,square,17,0.306339043,16,17,60,,,,,
large,60,3,3,15,1442,stochastic_greedy,square,17,1.912153265,17,17,60,,,,,
large,60,3,3,15,1442,genetic_greedy,square,15,79.378291009,15,15,60,28296,763,40013,0.02696494204127792,52.44167758846658
large,60,3,3,15,1442,genetic_stochastic,square,16,123.914669407,16,16,60,28429,1475,67451,0.05188363994512646,45.729491525423725
large,60,3,3,16,1542,greedy,square,16,1.690648169,16,16,60,,,,,
large,60,3,3,16,1542,stochastic_greedy,square,16,1.427809481,16,16,60,,,,,
large,60,3,3,16,1542,genetic_greedy,square,15,45.035050588,15,15,60,28406,323,17066,0.011370837147081602,52.8359133126935
large,60,3,3,16,1542,genetic_stochastic,square,15,140.055003982,15,15,60,28451,1922,93690,0.06755474324276826,48.74609781477628
large,60,3,3,17,1642,greedy,square,16,1.868753686,16,15,60,,,,,
large,60,3,3,17,1642,stochastic_greedy,square,16,1.55285708,16,16,60,,,,,
large,60,3,3,17,1642,genetic_greedy,square,15,55.884221419,15,15,60,28360,523,25660,0.018441466854724965,49.06309751434034
large,60,3,3,17,1642,genetic_stochastic,square,15,80.024682103,15,15,60,28374,1019,47352,0.0359131599351519,46.46908734052993
large,60,3,3,18,1742,greedy,square,16,0.446627202,16,16,60,,,,,
large,60,3,3,18,1742,stochastic_greedy,square,16,1.925589251,16,16,60,,,,,
large,60,3,3,18,1742,genetic_greedy,square,15,55.898583684,15,15,60,28373,491,24899,0.017305184506396926,50.710794297352344
large,60,3,3,18,1742,genetic_stochastic,square,15,80.718269795,15,15,60,28361,3818,49328,0.13462148725362294,12.919853326348873
large,60,3,3,19,1842,greedy,square,16,1.666652614,15,16,60,,,,,
large,60,3,3,19,1842,stochastic_greedy,square,18,0.51134162,18,17,60,,,,,
large,60,3,3,19,1842,genetic_greedy,square,15,71.045161637,15,15,60,28294,726,36356,0.025659150349897505,50.07713498622589
