algorithm,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,crossovers_mean,completion_rate_mean,tiles_completed_mean,cplex_optimal,cplex_feasible,cplex_infeasible,cplex_timeout,cplex_failed
greedy,20,1,4,10,10,18.3,17,21,1.1,0.002837437,0.002262177,0.005844092,0.0010471438567657265,,,,,,,,
stochastic_greedy,20,1,4,10,10,19.1,16,22,1.972308292331602,0.0025066617,0.001643129,0.00616963,0.001309995079407938,,,,,,,,
genetic_greedy,20,1,4,10,10,16.8,16,18,0.7483314773547883,0.330805007,0.260160817,0.421144292,0.04529839446784285,28315.0,0.007379593685497818,2751.9,,,,,
genetic_stochastic,20,1,4,10,10,16.5,16,17,0.5,0.5088075669000001,0.300866091,0.708464741,0.1277214392023099,28318.5,0.07284461224868746,9964.9,,,,,
merge_greedy,20,1,4,10,10,18.1,16,21,1.8681541692269403,0.0457767359,0.042248024,0.050671152,0.0023336966574878334,,,,,,,,
greedy,50,1,2,10,10,5.2,5,6,0.39999999999999997,0.0026174816,0.002239934,0.002948938,0.00021752882505323294,,,,,,,,
stochastic_greedy,50,1,2,10,10,5.4,5,6,0.4898979485566356,0.0026760764,0.00198098,0.004119097,0.0006657916895283691,,,,,,,,
genetic_greedy,50,1,2,10,10,5.0,5,5,0.0,0.6533589629,0.637840061,0.677944713,0.013298503509159176,28380.3,0.0021411430098529464,743.7,,,,,
genetic_stochastic,50,1,2,10,10,5.0,5,5,0.0,0.6561672486,0.633829222,0.666812653,0.011242515718341268,28378.1,0.007685113020156123,2770.2,,,,,
merge_greedy,50,1,2,10,10,5.5,5,6,0.5,0.14852701470000002,0.146257796,0.161865173,0.004527853287815322,,,,,,,,
greedy,50,1,4,10,10,21.1,18,24,1.9209372712298547,0.0042609793,0.003747947,0.00490843,0.0004202975107863595,,,,,,,,
stochastic_greedy,50,1,4,10,10,20.9,18,24,1.7,0.0039881396,0.003243295,0.005709365,0.0007612504280464084,,,,,,,,
genetic_greedy,50,1,4,10,10,18.5,18,20,0.6708203932499369,1.2580819843,0.993657302,2.553139213,0.43566582160450273,28371.9,0.01626993557050753,7847.8,,,,,
genetic_stochastic,50,1,4,10,10,18.4,18,19,0.4898979485566356,1.7155635304,1.180066569,2.910596595,0.46456934183167836,28361.7,0.0584073629979,36978.1,,,,,
merge_greedy,50,1,4,10,10,19.3,18,21,1.1,0.6258367924,0.619293799,0.633030137,0.004113308411891724,,,,,,,,
greedy,100,1,2,10,10,5.2,5,6,0.39999999999999997,0.0040957769,0.003522059,0.004644986,0.00039887518854610395,,,,,,,,
stochastic_greedy,100,1,2,10,10,5.4,5,6,0.4898979485566356,0.0045265444000000005,0.003643251,0.007424136,0.001070538742864937,,,,,,,,
genetic_greedy,100,1,2,10,10,5.0,5,5,0.0,1.6279527131000002,1.519602095,1.781213988,0.07832253204948732,28336.6,0.001897218497609553,1439.7,,,,,
genetic_stochastic,100,1,2,10,10,5.0,5,5,0.0,1.6194848029,1.535226194,1.736270373,0.07456193350762585,28348.8,0.008090221314319058,5985.3,,,,,
merge_greedy,100,1,2,10,10,5.0,5,5,0.0,1.1881483315,1.177110425,1.213790108,0.012535465082302985,,,,,,,,
greedy,100,1,4,10,10,20.0,19,22,1.0954451150103321,0.0066292600000000005,0.005664787,0.008129145,0.0008237564334708411,,,,,,,,
stochastic_greedy,100,1,4,10,10,21.3,19,24,1.5524174696260025,0.006528447800000001,0.005655155,0.008047514,0.0007678320952394215,,,,,,,,
genetic_greedy,100,1,4,10,10,19.3,19,20,0.45825756949558405,3.077528886,2.648426039,4.446844369,0.5078461162897614,28349.9,0.025148762847461224,18666.9,,,,,
genetic_stochastic,100,1,4,10,10,19.0,19,19,0.0,4.0476813081000005,3.424626444,7.936133784,1.3011337698214622,28377.8,0.06228787386626764,78153.0,,,,,
merge_greedy,100,1,4,10,10,20.6,19,24,1.42828568570857,4.9481262242,4.926142615,4.967835741,0.0135645200661341,,,,,,,,
merge_greedy,200,1,2,3,3,5.333333333333333,5,6,0.4714045207910317,9.418096196,9.405765989,9.432022496,0.010778425197549051,,,,,,,,
greedy,200,1,2,3,3,5.0,5,5,0.0,0.008184264666666666,0.007123208,0.009017999,0.0007900695394897566,,,,,,,,
stochastic_greedy,200,1,2,3,3,5.333333333333333,5,6,0.4714045207910317,0.008514842,0.00816004,0.009097693,0.00041537376494188937,,,,,,,,
genetic_greedy,200,1,2,3,3,5.0,5,5,0.0,4.229647442666667,4.156931043,4.346009988,0.08313222954725048,28291.0,0.0007388642600802196,1134.0,,,,,
genetic_stochastic,200,1,2,3,3,5.0,5,5,0.0,4.373624730666666,4.33008695,4.405306476,0.031832043114709545,28358.333333333332,0.005300626695273917,7596.666666666667,,,,,
