scale,tiles,n,m,run,seed,algorithm,objective_type,status,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
1d,50,1,2,5,442,stochastic_greedy,area,success,5,0.002195511,5,1,50,,,,,
1d,50,1,2,5,442,genetic_greedy,area,success,5,0.642586661,5,1,50,28497,0,0,0.0,
1d,50,1,2,5,442,genetic_stochastic,area,success,5,0.638802145,5,1,50,28342,176,2142,0.006209865217698116,12.170454545454545
1d,50,1,2,6,542,greedy,area,success,5,0.002239934,5,1,50,,,,,
1d,50,1,2,6,542,stochastic_greedy,area,success,6,0.002269725,6,1,50,,,,,
1d,50,1,2,6,542,genetic_greedy,area,success,5,0.642642196,5,1,50,28496,63,693,0.0022108366086468277,11.0
1d,50,1,2,6,542,genetic_stochastic,area,success,5,0.666812653,5,1,50,28402,176,2204,0.006196746707978312,12.522727272727273
1d,50,1,2,7,642,greedy,area,success,6,0.002809473,6,1,50,,,,,
1d,50,1,2,7,642,stochastic_greedy,area,success,5,0.002170292,5,1,50,,,,,
1d,50,1,2,7,642,genetic_greedy,area,success,5,0.65367385,5,1,50,28378,47,517,0.0016562125590245966,11.0
1d,50,1,2,7,642,genetic_stochastic,area,success,5,0.66612404,5,1,50,28397,367,4470,0.012923900412015354,12.17983651226158
1d,50,1,2,8,742,greedy,area,success,5,0.002664236,5,1,50,,,,,
1d,50,1,2,8,742,stochastic_greedy,area,success,6,0.003054998,6,1,50,,,,,
1d,50,1,2,8,742,genetic_greedy,area,success,5,0.648669692,5,1,50,28333,0,0,0.0,
1d,50,1,2,8,742,genetic_stochastic,area,success,5,0.665747474,5,1,50,28615,187,2342,0.006535034073038616,12.524064171122994
1d,50,1,2,9,842,greedy,area,success,6,0.002441411,6,1,50,,,,,
1d,50,1,2,9,842,stochastic_greedy,area,success,6,0.002389366,6,1,50,,,,,
1d,50,1,2,9,842,genetic_greedy,area,success,5,0.677944713,5,1,50,28256,451,5687,0.015961211778029446,12.609756097560975
1d,50,1,2,9,842,genetic_stochastic,area,success,5,0.653014851,5,1,50,28321,304,3848,0.010734084248437555,12.657894736842104
1d,50,1,2,10,942,greedy,area,success,5,0.00256962,5,1,50,,,,,
1d,50,1,2,10,942,stochastic_greedy,area,success,5,0.002253014,5,1,50,,,,,
1d,50,1,2,10,942,genetic_greedy,area,success,5,0.645059472,5,1,50,28386,0,0,0.0,
1d,50,1,2,10,942,genetic_stochastic,area,success,5,0.652939856,5,1,50,28064,180,2412,0.006413911060433295,13.4
1d,50,1,2,1,42,merge_greedy,area,success,5,0.161865173,5,1,50,,,,,
1d,50,1,2,2,142,merge_greedy,area,success,6,0.146673949,6,1,50,,,,,
1d,50,1,2,3,242,merge_greedy,area,success,6,0.146278404,6,1,50,,,,,
1d,50,1,2,4,342,merge_greedy,area,success,5,0.146315555,5,1,50,,,,,
1d,50,1,2,5,442,merge_greedy,area,success,5,0.149258212,5,1,50,,,,,
1d,50,1,2,6,542,merge_greedy,area,success,6,0.146257796,6,1,50,,,,,
1d,50,1,2,7,642,merge_greedy,area,success,5,0.147690769,5,1,50,,,,,
1d,50,1,2,8,742,merge_greedy,area,success,6,0.147171262,6,1,50,,,,,
1d,50,1,2,9,842,merge_greedy,area,success,5,0.147076408,5,1,50,,,,,
1d,50,1,2,10,942,merge_greedy,area,success,6,0.146682619,6,1,50,,,,,
1d,50,1,4,1,42,greedy,area,success,19,0.003747947,19,1,50,,,,,
