scale,tiles,n,m,run,seed,algorithm,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
small,10,3,3,25,2442,cplex,8,53.462636821,8,8,10,,,,,
small,10,3,3,26,2542,greedy,9,0.367465001,9,9,10,,,,,
small,10,3,3,26,2542,stochastic_greedy,9,0.471498497,9,9,10,,,,,
small,10,3,3,26,2542,genetic_greedy,8,3.572081235,8,8,10,3097,83,384,0.02680012915724895,4.626506024096385
small,10,3,3,26,2542,genetic_stochastic,8,4.038244495,8,8,10,3112,322,1176,0.10347043701799485,3.652173913043478
small,10,3,3,26,2542,cplex,8,47.951943962,8,8,10,,,,,
small,10,3,3,27,2642,greedy,9,0.393483897,9,8,10,,,,,
small,10,3,3,27,2642,stochastic_greedy,8,0.409899842,8,8,10,,,,,
small,10,3,3,27,2642,genetic_greedy,8,3.833014163,8,8,10,3160,125,449,0.03955696202531646,3.592
small,10,3,3,27,2642,genetic_stochastic,8,3.819518861,8,8,10,3185,856,2092,0.26875981161695445,2.44392523364486
small,10,3,3,27,2642,cplex,8,45.071788889,8,8,10,,,,,
small,10,3,3,28,2742,greedy,9,0.435866196,9,9,10,,,,,
small,10,3,3,28,2742,stochastic_greedy,9,0.442732214,8,9,10,,,,,
small,10,3,3,28,2742,genetic_greedy,8,4.024163977,8,8,10,3172,225,1082,0.07093316519546028,4.808888888888889
small,10,3,3,28,2742,genetic_stochastic,8,3.70327846,8,8,10,3097,148,704,0.04778818211172102,4.756756756756757
small,10,3,3,28,2742,cplex,8,45.721259056,8,8,10,,,,,
small,10,3,3,29,2842,greedy,9,0.3754124,9,9,10,,,,,
small,10,3,3,29,2842,stochastic_greedy,9,0.395294492,9,9,10,,,,,
small,10,3,3,29,2842,genetic_greedy,8,3.747718966,8,8,10,3161,637,1352,0.20151850680164504,2.122448979591837
small,10,3,3,29,2842,genetic_stochastic,8,3.757831727,8,8,10,3174,238,945,0.07498424700693132,3.9705882352941178
small,10,3,3,29,2842,cplex,8,41.106425909,8,8,10,,,,,
small,10,3,3,30,2942,greedy,9,0.445551061,8,9,10,,,,,
small,10,3,3,30,2942,stochastic_greedy,9,0.476266304,9,8,10,,,,,
small,10,3,3,30,2942,genetic_greedy,8,3.702367758,8,8,10,3112,482,1281,0.15488431876606684,2.6576763485477177
small,10,3,3,30,2942,genetic_stochastic,8,3.917238189,8,8,10,3122,225,833,0.0720691864189622,3.7022222222222223
small,10,3,3,30,2942,cplex,8,43.167036331,8,8,10,,,,,
