scale,tiles,n,m,run,seed,algorithm,objective_type,status,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
small,6,5,5,5,442,genetic_stochastic,square,success,13,0.401218,13,13,6,12640,214,543,0.016930379746835443,2.5373831775700935
small,6,5,5,6,542,greedy,square,success,15,0.001048,12,15,6,,,,,
small,6,5,5,6,542,stochastic_greedy,square,success,15,0.001226,15,12,6,,,,,
small,6,5,5,6,542,genetic_greedy,square,success,14,0.986921,14,14,6,12583,1381,1458,0.10975125168878645,1.055756698044895
small,6,5,5,6,542,genetic_stochastic,square,success,13,0.843119,13,13,6,12561,523,1147,0.04163681235570416,2.1931166347992352
small,6,5,5,7,642,greedy,square,success,16,0.001268,15,16,6,,,,,
small,6,5,5,7,642,stochastic_greedy,square,success,14,0.001219,14,12,6,,,,,
small,6,5,5,7,642,genetic_greedy,square,success,13,0.254445,13,13,6,12639,103,293,0.008149378906559063,2.8446601941747574
small,6,5,5,7,642,genetic_stochastic,square,success,13,0.623178,13,13,6,12608,377,976,0.029901649746192895,2.5888594164456236
small,6,5,5,8,742,greedy,square,success,15,0.00108,13,15,6,,,,,
small,6,5,5,8,742,stochastic_greedy,square,success,15,0.00135,14,15,6,,,,,
small,6,5,5,8,742,genetic_greedy,square,success,14,0.383825,14,13,6,12514,324,558,0.025891002077673007,1.7222222222222223
small,6,5,5,8,742,genetic_stochastic,square,success,13,0.707597,13,13,6,12615,243,699,0.019262782401902497,2.876543209876543
small,6,5,5,9,842,greedy,square,success,13,0.000976,13,13,6,,,,,
small,6,5,5,9,842,stochastic_greedy,square,success,15,0.001478,13,15,6,,,,,
small,6,5,5,9,842,genetic_greedy,square,success,13,0.215733,13,13,6,12619,62,151,0.0049132260876456136,2.435483870967742
small,6,5,5,9,842,genetic_stochastic,square,success,13,0.681547,13,12,6,12650,591,1211,0.0467193675889328,2.0490693739424706
small,6,5,5,10,942,greedy,square,success,16,0.001195,16,16,6,,,,,
small,6,5,5,10,942,stochastic_greedy,square,success,14,0.001369,13,14,6,,,,,
small,6,5,5,10,942,genetic_greedy,square,success,13,0.283362,13,13,6,12641,133,363,0.010521319515861088,2.7293233082706765
small,6,5,5,10,942,genetic_stochastic,square,success,13,1.242952,13,13,6,12531,1081,2844,0.08626606017077647,2.6308973172987975
small,6,10,10,1,42,greedy,square,success,32,0.008289,32,32,6,,,,,
small,6,10,10,1,42,stochastic_greedy,square,success,32,0.009308,29,32,6,,,,,
small,6,10,10,1,42,genetic_greedy,square,success,29,7.736559,26,29,6,12643,90,253,0.007118563632049355,2.811111111111111
small,6,10,10,1,42,genetic_stochastic,square,success,29,10.786781,26,29,6,12602,635,1217,0.05038882717029043,1.9165354330708662
small,6,10,10,2,142,greedy,square,success,30,0.011502,29,30,6,,,,,
small,6,10,10,2,142,stochastic_greedy,square,success,30,0.010542,30,29,6,,,,,
small,6,10,10,2,142,genetic_greedy,square,success,29,5.285981,29,29,6,12647,117,259,0.009251205819561951,2.213675213675214
small,6,10,10,2,142,genetic_stochastic,square,success,29,21.230898,29,29,6,12555,2367,4374,0.18853046594982079,1.8479087452471483
small,6,10,10,3,242,greedy,square,success,32,0.00877,32,32,6,,,,,
small,6,10,10,3,242,stochastic_greedy,square,success,30,0.00887,30,29,6,,,,,
small,6,10,10,3,242,genetic_greedy,square,success,30,3.458202,30,30,6,12562,37,85,0.002945390861327814,2.2972972972972974
small,6,10,10,3,242,genetic_stochastic,square,success,29,24.298305,29,29,6,12554,3164,3895,0.25203122510753545,1.2310366624525917
small,6,10,10,4,342,greedy,square,success,32,0.00748,29,32,6,,,,,
small,6,10,10,4,342,stochastic_greedy,square,success,30,0.008309,29,30,6,,,,,
small,6,10,10,4,342,genetic_greedy,square,success,31,1.336378,31,28,6,12640,74,76,0.005854430379746835,1.027027027027027
small,6,10,10,4,342,genetic_stochastic,square,success,29,12.049537,29,29,6,12686,1421,2056,0.11201324294497872,1.446868402533427
small,6,10,10,5,442,greedy,square,success,33,0.007903,29,33,6,,,,,
small,6,10,10,5,442,stochastic_greedy,square,success,31,0.007988,31,29,6,,,,,
small,6,10,10,5,442,genetic_greedy,square,success,29,7.153513,29,29,6,12620,822,912,0.06513470681458003,1.1094890510948905
small,6,10,10,5,442,genetic_stochastic,square,success,29,13.428168,29,29,6,12511,1123,1997,0.08976101031092638,1.7782724844167408
small,6,10,10,6,542,greedy,square,success,33,0.011774,33,33,6,,,,,
small,6,10,10,6,542,stochastic_greedy,square,success,33,0.015343,28,33,6,,,,,
small,6,10,10,6,542,genetic_greedy,square,success,30,11.227353,30,28,6,12673,403,820,0.03179988952891975,2.034739454094293
small,6,10,10,6,542,genetic_stochastic,square,success,29,9.226353,29,28,6,12578,251,553,0.019955477818413104,2.2031872509960158
small,6,10,10,7,642,greedy,square,success,30,0.00802,30,29,6,,,,,
small,6,10,10,7,642,stochastic_greedy,square,success,32,0.009022,32,32,6,,,,,
small,6,10,10,7,642,genetic_greedy,square,success,29,5.467564,29,29,6,12500,330,680,0.0264,2.0606060606060606
small,6,10,10,7,642,genetic_stochastic,square,success,29,24.34901,29,29,6,12564,1995,3832,0.15878701050620822,1.9208020050125314
small,6,10,10,8,742,greedy,square,success,30,0.008079,29,30,6,,,,,
small,6,10,10,8,742,stochastic_greedy,square,success,30,0.00712,30,29,6,,,,,
small,6,10,10,8,742,genetic_greedy,square,success,30,4.141887,29,30,6,12618,292,326,0.023141543826279917,1.1164383561643836
small,6,10,10,8,742,genetic_stochastic,square,success,28,11.86313,28,28,6,12628,590,1019,0.04672157111181501,1.7271186440677966
small,6,10,10,9,842,greedy,square,success,33,0.009295,29,33,6,,,,,
small,6,10,10,9,842,stochastic_greedy,square,success,33,0.009912,33,29,6,,,,,
small,6,10,10,9,842,genetic_greedy,square,success,29,0.853809,29,29,6,12651,27,42,0.0021342186388427793,1.5555555555555556
small,6,10,10,9,842,genetic_stochastic,square,success,29,10.140166,29,29,6,12633,1341,1596,0.106150558062218,1.1901565995525727
small,6,10,10,10,942,greedy,square,success,33,0.007612,33,33,6,,,,,
small,6,10,10,10,942,stochastic_greedy,square,success,30,0.00813,30,29,6,,,,,
small,6,10,10,10,942,genetic_greedy,square,success,30,6.449618,30,29,6,12517,853,995,0.06814731964528242,1.1664712778429074
small,6,10,10,10,942,genetic_stochastic,square,success,29,4.52812,29,29,6,12660,263,473,0.020774091627172198,1.7984790874524714
small,8,3,3,1,42,greedy,square,success,8,0.000901572,8,8,8,,,,,
small,8,3,3,1,42,stochastic_greedy,square,success,9,0.000728828,8,9,8,,,,,
small,8,3,3,1,42,genetic_greedy,square,success,8,0.312796231,8,8,8,12673,2405,4102,0.18977353428548882,1.7056133056133056
small,8,3,3,1,42,genetic_stochastic,square,success,8,0.258805641,8,8,8,12476,1345,3867,0.10780698941968579,2.875092936802974
small,8,3,3,2,142,greedy,square,success,8,0.001021569,8,8,8,,,,,
small,8,3,3,2,142,stochastic_greedy,square,success,9,0.000668924,9,9,8,,,,,
small,8,3,3,2,142,genetic_greedy,square,success,7,0.201345395,7,7,8,12663,477,1423,0.037668798862828715,2.9832285115303985
small,8,3,3,2,142,genetic_stochastic,square,success,7,0.103612521,7,7,8,12689,400,1122,0.03152336669556308,2.805
small,8,3,3,3,242,greedy,square,success,9,0.000918032,9,8,8,,,,,
small,8,3,3,3,242,stochastic_greedy,square,success,9,0.003394395,8,9,8,,,,,
small,8,3,3,3,242,genetic_greedy,square,success,8,0.201280302,8,8,8,12657,194,920,0.015327486766216323,4.742268041237113
small,8,3,3,3,242,genetic_stochastic,square,success,7,0.108201921,7,7,8,12715,322,986,0.02532441997640582,3.062111801242236
small,8,3,3,4,342,greedy,square,success,9,0.000995815,9,9,8,,,,,
small,8,3,3,4,342,stochastic_greedy,square,success,8,0.000796762,8,8,8,,,,,
small,8,3,3,4,342,genetic_greedy,square,success,8,0.150059081,8,8,8,12722,565,1579,0.044411256091809466,2.7946902654867256
small,8,3,3,4,342,genetic_stochastic,square,success,7,0.131696728,7,7,8,12555,335,974,0.026682596575069693,2.9074626865671642
small,8,3,3,5,442,greedy,square,success,8,0.000802317,8,8,8,,,,,
small,8,3,3,5,442,stochastic_greedy,square,success,8,0.000767066,8,8,8,,,,,
small,8,3,3,5,442,genetic_greedy,square,success,8,0.412581166,8,8,8,12508,943,3267,0.07539174928046051,3.464475079533404
small,8,3,3,5,442,genetic_stochastic,square,success,8,0.771813792,8,8,8,12540,3292,11092,0.2625199362041467,3.3693803159173754
small,8,3,3,6,542,greedy,square,success,9,0.000865299,9,9,8,,,,,
small,8,3,3,6,542,stochastic_greedy,square,success,8,0.000801286,8,8,8,,,,,
small,8,3,3,6,542,genetic_greedy,square,success,8,0.239169978,8,8,8,12638,613,1635,0.04850451020731129,2.66721044045677
small,8,3,3,6,542,genetic_stochastic,square,success,8,0.547813025,8,7,8,12564,5181,10251,0.4123686723973257,1.9785755645628258
small,8,3,3,7,642,greedy,square,success,8,0.001004196,8,8,8,,,,,
small,8,3,3,7,642,stochastic_greedy,square,success,8,0.001221733,8,8,8,,,,,
small,8,3,3,7,642,genetic_greedy,square,success,8,0.483768238,8,8,8,12571,1576,6071,0.1253679102696683,3.8521573604060912
small,8,3,3,7,642,genetic_stochastic,square,success,7,0.136122912,7,7,8,12617,289,851,0.02290560355076484,2.944636678200692
small,8,3,3,8,742,greedy,square,success,8,0.000636139,8,8,8,,,,,
small,8,3,3,8,742,stochastic_greedy,square,success,9,0.000621681,7,9,8,,,,,
small,8,3,3,8,742,genetic_greedy,square,success,8,0.145834659,8,8,8,12607,1055,1103,0.08368366780360117,1.0454976303317536
small,8,3,3,8,742,genetic_stochastic,square,success,7,0.082566712,7,7,8,12665,152,505,0.012001579155151994,3.3223684210526314
small,8,3,3,9,842,greedy,square,success,9,0.000804167,8,9,8,,,,,
small,8,3,3,9,842,stochastic_greedy,square,success,8,0.000807318,8,8,8,,,,,
small,8,3,3,9,842,genetic_greedy,square,success,8,0.339351263,8,8,8,12579,4141,5019,0.3291994594164878,1.2120260806568461
small,8,3,3,9,842,genetic_stochastic,square,success,7,0.213441254,7,7,8,12625,1687,2110,0.13362376237623763,1.2507409602845287
small,8,3,3,10,942,greedy,square,success,9,0.000878633,9,9,8,,,,,
small,8,3,3,10,942,stochastic_greedy,square,success,8,0.000784223,8,8,8,,,,,
small,8,3,3,10,942,genetic_greedy,square,success,8,0.968817793,8,8,8,12661,5450,11118,0.43045573019508726,2.04
small,8,3,3,10,942,genetic_stochastic,square,success,8,0.529822312,8,8,8,12593,2095,7148,0.1663622647502581,3.4119331742243437
small,8,5,5,1,42,greedy,square,success,15,0.001537,15,15,8,,,,,
small,8,5,5,1,42,stochastic_greedy,square,success,17,0.002469,16,17,8,,,,,
small,8,5,5,1,42,genetic_greedy,square,success,15,0.747832,15,15,8,12525,281,1132,0.022435129740518964,4.02846975088968
small,8,5,5,1,42,genetic_stochastic,square,success,15,2.76094,14,15,8,12509,827,3009,0.06611239907266768,3.6384522370012093
small,8,5,5,2,142,greedy,square,success,17,0.001525,17,17,8,,,,,
small,8,5,5,2,142,stochastic_greedy,square,success,17,0.001857,15,17,8,,,,,
small,8,5,5,2,142,genetic_greedy,square,success,15,1.476446,15,15,8,12507,441,1826,0.03526025425761573,4.140589569160998
small,8,5,5,2,142,genetic_stochastic,square,success,15,7.122844,15,14,8,12627,2452,10158,0.19418705947572662,4.142740619902121
small,8,5,5,3,242,greedy,square,success,17,0.001543,16,17,8,,,,,
small,8,5,5,3,242,stochastic_greedy,square,success,15,0.00168,14,15,8,,,,,
small,8,5,5,3,242,genetic_greedy,square,success,15,0.539676,15,15,8,12601,152,575,0.012062534719466708,3.7828947368421053
