scale,tiles,n,m,run,seed,algorithm,objective_type,status,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
medium,50,4,6,1,42,stochastic_greedy,square,success,37,0.056504325,36,37,50,,,,,
medium,50,4,6,1,42,genetic_greedy,square,success,33,80.867346678,33,32,50,28502,239,10573,0.008385376464809488,44.23849372384937
medium,50,4,6,1,42,genetic_stochastic,square,success,33,205.490536265,33,33,50,28324,776,33033,0.0273972602739726,42.56829896907217
medium,50,4,6,1,42,beam_search,square,success,33,166.151329044,33,33,50,,,,,
medium,50,4,6,2,142,merge_greedy,square,success,58,140.8932789,58,18,50,,,,,
medium,50,4,6,2,142,greedy,square,success,34,0.043962559,34,34,50,,,,,
medium,50,4,6,2,142,stochastic_greedy,square,success,35,0.07448118,35,35,50,,,,,
medium,50,4,6,2,142,genetic_greedy,square,success,33,184.693162578,33,33,50,28441,644,28251,0.02264336697021905,43.86801242236025
medium,50,4,6,2,142,genetic_stochastic,square,success,34,576.185330227,34,34,50,28439,2376,96713,0.0835472414641865,40.70412457912458
medium,50,4,6,2,142,beam_search,square,success,33,163.956144011,33,33,50,,,,,
medium,50,4,6,3,242,merge_greedy,square,success,37,120.527330115,37,30,50,,,,,
medium,50,4,6,3,242,greedy,square,success,35,0.047242651,34,35,50,,,,,
medium,50,4,6,3,242,stochastic_greedy,square,success,35,0.072096285,35,35,50,,,,,
medium,50,4,6,3,242,genetic_greedy,square,success,33,198.482524435,33,33,50,28367,672,29403,0.02368949836077132,43.754464285714285
medium,50,4,6,3,242,genetic_stochastic,square,success,34,434.647057269,34,34,50,28612,1517,64436,0.0530197120089473,42.47593935398813
medium,50,4,6,3,242,beam_search,square,success,33,167.651962245,33,33,50,,,,,
medium,50,4,6,4,342,merge_greedy,square,success,55,130.564423373,55,20,50,,,,,
medium,50,4,6,4,342,greedy,square,success,34,0.047106755,34,33,50,,,,,
medium,50,4,6,4,342,stochastic_greedy,square,success,35,0.052829147,34,35,50,,,,,
medium,50,4,6,4,342,genetic_greedy,square,success,33,211.090053697,33,33,50,28343,723,30998,0.025508944007338673,42.87413554633471
medium,50,4,6,4,342,genetic_stochastic,square,success,33,218.477947878,33,33,50,28366,815,34448,0.02873158006063597,42.267484662576685
medium,50,4,6,4,342,beam_search,square,success,33,168.061507377,33,33,50,,,,,
medium,50,4,6,5,442,merge_greedy,square,success,60,146.512850655,60,19,50,,,,,
medium,50,4,6,5,442,greedy,square,success,34,0.045208901,34,33,50,,,,,
medium,50,4,6,5,442,stochastic_greedy,square,success,35,0.066363047,35,34,50,,,,,
medium,50,4,6,5,442,genetic_greedy,square,success,33,178.120191196,33,33,50,28426,626,27148,0.02202209245057342,43.36741214057508
medium,50,4,6,5,442,genetic_stochastic,square,success,34,385.238487176,33,34,50,28443,1392,59988,0.048939985233625145,43.0948275862069
medium,50,4,6,5,442,beam_search,square,success,34,164.388342083,34,34,50,,,,,
medium,50,4,6,6,542,merge_greedy,square,success,51,161.076855461,51,22,50,,,,,
medium,50,4,6,6,542,greedy,square,success,34,0.04461752,33,34,50,,,,,
medium,50,4,6,6,542,stochastic_greedy,square,success,35,0.071348167,35,35,50,,,,,
medium,50,4,6,6,542,genetic_greedy,square,success,33,265.393847018,33,33,50,28133,956,40909,0.03398144527778765,42.7918410041841
medium,50,4,6,6,542,genetic_stochastic,square,success,33,354.43240991,33,33,50,28191,1305,55393,0.0462913695860381,42.446743295019154
medium,50,4,6,6,542,beam_search,square,success,34,161.676255253,34,33,50,,,,,
medium,50,4,6,7,642,merge_greedy,square,success,37,76.293709006,37,31,50,,,,,
medium,50,4,6,7,642,greedy,square,success,34,0.042348182,33,34,50,,,,,
medium,50,4,6,7,642,stochastic_greedy,square,success,35,0.053458928,35,35,50,,,,,
medium,50,4,6,7,642,genetic_greedy,square,success,33,248.05509225,33,33,50,28512,835,36319,0.029285914702581368,43.49580838323353
medium,50,4,6,7,642,genetic_stochastic,square,success,33,295.972900515,33,33,50,28392,1083,46600,0.038144547759932375,43.0286241920591
medium,50,4,6,7,642,beam_search,square,success,33,162.189397405,33,32,50,,,,,
medium,50,4,6,8,742,merge_greedy,square,success,53,131.665765563,53,21,50,,,,,
medium,50,4,6,8,742,greedy,square,success,34,0.043738166,34,34,50,,,,,
medium,50,4,6,8,742,stochastic_greedy,square,success,35,0.069230025,35,34,50,,,,,
medium,50,4,6,8,742,genetic_greedy,square,success,33,181.306396248,33,33,50,28246,634,27139,0.022445656022091625,42.805993690851736
medium,50,4,6,8,742,genetic_stochastic,square,success,33,239.109988502,33,33,50,28400,825,35654,0.029049295774647887,43.2169696969697
medium,50,4,6,8,742,beam_search,square,success,33,164.310423191,32,33,50,,,,,
medium,50,4,6,9,842,merge_greedy,square,success,46,102.557921174,46,25,50,,,,,
medium,50,4,6,9,842,greedy,square,success,35,0.045705149,35,35,50,,,,,
medium,50,4,6,9,842,stochastic_greedy,square,success,35,0.052713036,33,35,50,,,,,
medium,50,4,6,9,842,genetic_greedy,square,success,33,236.692495678,33,33,50,28407,881,37941,0.031013482592318793,43.06583427922815
medium,50,4,6,9,842,genetic_stochastic,square,success,33,239.63456941,33,33,50,28477,935,38909,0.032833514766302634,41.61390374331551
medium,50,4,6,9,842,beam_search,square,success,33,161.56501958,33,33,50,,,,,
medium,50,4,6,10,942,merge_greedy,square,success,44,93.142209213,44,25,50,,,,,
medium,50,4,6,10,942,greedy,square,success,35,0.047044504,35,35,50,,,,,
medium,50,4,6,10,942,stochastic_greedy,square,success,35,0.073856797,35,35,50,,,,,
medium,50,4,6,10,942,genetic_greedy,square,success,33,360.085492583,33,33,50,28291,1119,49718,0.03955321480329434,44.430741733690795
medium,50,4,6,10,942,genetic_stochastic,square,success,34,422.929022664,34,32,50,28416,1453,62233,0.051133164414414414,42.83069511355816
medium,50,4,6,10,942,beam_search,square,success,34,167.74404343,34,33,50,,,,,
