scale,tiles,n,m,run,seed,algorithm,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
medium,30,3,3,11,1042,genetic_stochastic,12,16.001573658,12,12,30,12711,821,15437,0.06458972543466289,18.802679658952496
medium,30,3,3,12,1142,greedy,13,1.018694406,13,13,30,,,,,
medium,30,3,3,12,1142,stochastic_greedy,13,1.032043761,13,13,30,,,,,
medium,30,3,3,12,1142,genetic_greedy,12,14.591089547,12,12,30,12500,909,16140,0.07272,17.755775577557756
medium,30,3,3,12,1142,genetic_stochastic,12,18.78744904,12,12,30,12632,1017,19930,0.08050981633945535,19.596853490658802
medium,30,3,3,13,1242,greedy,13,1.121430891,13,13,30,,,,,
medium,30,3,3,13,1242,stochastic_greedy,13,1.061956207,13,12,30,,,,,
medium,30,3,3,13,1242,genetic_greedy,12,10.973744419,11,12,30,12579,236,5563,0.01876142777645282,23.572033898305083
medium,30,3,3,13,1242,genetic_stochastic,12,12.98403849,12,12,30,12618,477,10085,0.037803138373751786,21.142557651991613
medium,30,3,3,14,1342,greedy,13,1.004003936,12,13,30,,,,,
medium,30,3,3,14,1342,stochastic_greedy,14,1.009865475,14,14,30,,,,,
medium,30,3,3,14,1342,genetic_greedy,12,9.660252793,12,12,30,12638,733,4144,0.05799968349422377,5.653478854024557
medium,30,3,3,14,1342,genetic_stochastic,12,15.832078898,12,12,30,12562,733,15353,0.058350581117656425,20.94542974079127
medium,30,3,3,15,1442,greedy,13,1.136001823,13,13,30,,,,,
medium,30,3,3,15,1442,stochastic_greedy,14,1.054736848,13,14,30,,,,,
medium,30,3,3,15,1442,genetic_greedy,12,11.968491921,12,12,30,12537,249,5861,0.019861210815984687,23.538152610441767
medium,30,3,3,15,1442,genetic_stochastic,12,18.707231991,12,12,30,12621,970,20035,0.07685603359480231,20.65463917525773
medium,30,3,3,16,1542,greedy,12,0.97567327,12,12,30,,,,,
medium,30,3,3,16,1542,stochastic_greedy,14,1.127977442,13,14,30,,,,,
medium,30,3,3,16,1542,genetic_greedy,12,9.715035688,12,12,30,12450,112,2783,0.008995983935742972,24.848214285714285
medium,30,3,3,16,1542,genetic_stochastic,12,14.147433615,12,12,30,12591,626,13266,0.04971805257723771,21.191693290734825
medium,30,3,3,17,1642,greedy,12,1.081615849,12,12,30,,,,,
medium,30,3,3,17,1642,stochastic_greedy,13,1.088888845,13,13,30,,,,,
medium,30,3,3,17,1642,genetic_greedy,12,14.85750298,12,12,30,12609,774,13936,0.06138472519628837,18.00516795865633
medium,30,3,3,17,1642,genetic_stochastic,12,12.30414715,12,12,30,12538,448,9294,0.03573137661509013,20.745535714285715
medium,30,3,3,18,1742,greedy,13,1.078299623,12,13,30,,,,,
medium,30,3,3,18,1742,stochastic_greedy,13,1.109256374,13,13,30,,,,,
medium,30,3,3,18,1742,genetic_greedy,12,15.450186158,12,12,30,12568,1340,13781,0.10661998726925526,10.284328358208954
medium,30,3,3,18,1742,genetic_stochastic,12,18.768117136,12,12,30,12613,2234,22458,0.1771188456354555,10.052820053715308
