algorithm,tiles,n,m,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std,crossovers_mean,completion_rate_mean,tiles_completed_mean,cplex_optimal,cplex_feasible,cplex_infeasible,cplex_timeout,cplex_failed
merge_greedy,20,4,6,10,10,483.0,448,540,31.11591232793922,4.0015361024,2.87998893,5.252982473,0.7984897402181912,,,,,,,,
greedy,20,4,6,10,10,444.2,432,462,7.6131465242697125,0.7367928678,0.481711564,0.87582909,0.10904070458438561,,,,,,,,
stochastic_greedy,20,4,6,10,10,444.2,428,462,8.964373932405989,0.7401721476,0.499057353,0.882336616,0.09381080323781094,,,,,,,,
genetic_greedy,20,4,6,10,10,437.6,432,448,5.122499389946279,18.3906511679,11.525668085,27.516744715,5.037451729381934,28383.0,0.01320300750194198,4558.6,,,,,
genetic_stochastic,20,4,6,10,10,432.4,420,444,7.683749084919419,34.6179567326,22.558137539,45.57134888,6.568207786157014,28309.8,0.03819822194403708,15802.9,,,,,
beam_search,20,4,6,10,10,435.8,420,468,13.636715146984628,10.385431999,9.216951267,10.807485339,0.563111824585956,,,,,,,,
merge_greedy,30,2,4,10,10,118.8,102,138,10.6,0.5256525053,0.451997062,0.698987364,0.0690257880568988,,,,,,,,
greedy,30,2,4,10,10,134.8,102,170,17.278888853164144,0.0309811006,0.010291564,0.060226995,0.013618758940691133,,,,,,,,
stochastic_greedy,30,2,4,10,10,132.0,111,164,14.825653442597396,0.0368575471,0.00931244,0.091914005,0.02246675519027994,,,,,,,,
genetic_greedy,30,2,4,10,10,109.9,96,120,8.190848551890092,2.3294645770000004,2.027810424,2.877979348,0.24619584504303688,28312.8,0.014831439008757417,10201.7,,,,,
genetic_stochastic,30,2,4,10,10,109.3,96,124,7.925276020429825,2.8832184037,2.503946585,3.134053963,0.19779673041750823,28352.6,0.027053602915755072,18234.1,,,,,
beam_search,30,2,4,10,10,116.1,99,128,8.595929269136642,7.070578041100001,4.211782567,8.487704353,1.3321387442448096,,,,,,,,
merge_greedy,30,4,6,10,10,710.3,648,760,30.831963933554412,17.240216161,12.586546307,23.681066316,3.690303353992809,,,,,,,,
greedy,30,4,6,10,10,656.8,632,690,16.351146748775758,1.7857436398000002,1.145086673,2.167685934,0.4154499338992816,,,,,,,,
stochastic_greedy,30,4,6,10,10,656.0,628,696,22.108821768696767,1.8395160366999999,1.241746316,2.343433224,0.3871047126581403,,,,,,,,
genetic_greedy,30,4,6,10,10,638.8,620,648,8.4,45.849754804499995,34.73918688,64.279468052,9.436176096904182,28364.0,0.014112960277439204,6816.0,,,,,
genetic_stochastic,30,4,6,10,10,633.2,616,644,8.772684879784524,83.7315016227,59.716488797,103.769721759,14.017570062255581,28345.6,0.03253486482731721,21908.4,,,,,
beam_search,30,4,6,10,10,644.6,624,680,19.515122341404883,47.472845213,39.821329281,51.21029311,4.099147448529276,,,,,,,,
merge_greedy,50,2,4,10,10,164.5,152,189,11.859595271340417,2.5929369747999997,2.196415987,2.972256548,0.22323616383284056,,,,,,,,
greedy,50,2,4,10,10,181.4,164,198,10.00199980003999,0.07808695239999999,0.050807224,0.133224094,0.024318202321739597,,,,,,,,
stochastic_greedy,50,2,4,10,10,181.0,166,192,8.637129152675673,0.0684750289,0.054304335,0.080357729,0.008824727436988358,,,,,,,,
genetic_greedy,50,2,4,10,10,156.5,144,168,7.338255923582933,6.7979542744,5.346523321,7.867882084,0.646764988392036,28371.2,0.018389187346785196,22425.8,,,,,
genetic_stochastic,50,2,4,10,10,153.1,141,165,6.315853069855251,8.5550562301,7.069518502,9.622289076,0.7365484831616262,28324.6,0.028618833530955446,35066.4,,,,,
beam_search,50,2,4,10,10,169.0,144,188,13.572030061858838,54.29269734649999,36.814823137,57.411389738,5.872153289021296,,,,,,,,
merge_greedy,30,5,5,10,10,752.1,713,798,25.579093025359597,15.463106181,12.530476588,23.192877701,3.2286708402840456,,,,,,,,
greedy,30,5,5,10,10,694.0,680,705,8.888194417315589,1.7016309225000001,1.641317818,1.779472184,0.04986593055246016,,,,,,,,
stochastic_greedy,30,5,5,10,10,690.5,675,715,10.828203913853857,1.6820726098,1.599167187,1.81049452,0.058028830853874155,,,,,,,,
genetic_greedy,30,5,5,10,10,680.5,665,695,9.86154146165801,53.585863679199996,39.218921657,98.576641819,16.032077729250403,28333.2,0.015538943017356175,8476.1,,,,,
genetic_stochastic,30,5,5,10,10,673.0,655,690,11.445523142259598,89.103640653,69.60978958,99.451816598,8.844843813046264,28347.3,0.025467038873589264,17356.7,,,,,
beam_search,30,5,5,10,10,674.7,655,700,13.259336333316234,47.9716784718,35.947351178,53.030047445,4.382782234881925,,,,,,,,
merge_greedy,50,4,6,10,10,1113.0,1044,1150,29.19589012172775,126.24736574020001,77.904046559,165.22643525,25.165329559828653,,,,,,,,
greedy,50,4,6,10,10,1066.1,1004,1128,35.845362322063366,6.1183259458000006,3.215441713,7.834185558,1.740341725773203,,,,,,,,
stochastic_greedy,50,4,6,10,10,1058.6,996,1104,36.35436700040313,5.9989929048,3.15927019,7.805490544,1.7308907184170574,,,,,,,,
genetic_greedy,50,4,6,10,10,1031.9,996,1068,21.81948670340345,198.0667678582,168.893729268,253.992240809,24.582828940898224,28369.8,0.014446641985228634,15552.2,,,,,
genetic_stochastic,50,4,6,10,10,1024.4,988,1056,21.86869909253863,342.53784647879996,278.337118739,392.566542875,38.31097915301537,28397.9,0.03290992454222358,39872.5,,,,,
beam_search,50,4,6,10,10,1023.6,988,1074,26.42423130386199,351.2462894068,301.762188812,374.172617234,25.03462998394995,,,,,,,,
